EQUIPO,ID_TEAM
Girona,acf9
Real Madrid,218d
Atlético Madrid,da22
Barcelona,73e2
Athletic Club,3054
Real Sociedad,a8d0
Real Betis,ac25
Las Palmas,767d
Getafe,89ec
Rayo Vallecano,3e4d
Valencia,f97f
Alavés,a04c
Villarreal,7bb0
Osasuna,64f8
Mallorca,7cc7
Sevilla FC,871d
Cádiz,ea6f
Celta Vigo,520d
Granada,bef4
Almería,4f48
Liverpool,f1a4
Arsenal,9963
Aston Villa,29ae
Manchester City,9ef1
Tottenham Hotspur,3fe3
Manchester United,b893
Newcastle United,f703
Brighton & Hove Albion,bf47
West Ham United,0639
Fulham,1cb4
Brentford,cfd9
Chelsea,357e
Wolverhampton Wanderers,5d5c
AFC Bournemouth,fc59
Crystal Palace,305a
Nottingham Forest,1877
Everton,3b48
Luton Town,c4f7
Burnley,3700
ff UtdSheffield United,bf41
Internazionale,0b7f
Juventus,5c09
AC Milan,46e9
AS Roma,f55a
Bolonia,e534
Napoli,e47b
Fiorentina,1d6e
Atalanta,3973
Monza,1bb3
Lazio,8f3e
Torino,6bac
Frosinone,0394
Lecce,9430
Génova,b06e
Sassuolo,ee3d
Cagliari,173a
Udinese,f028
Empoli,72a8
Hellas Verona,505c
Salernitana,e679
Bayer Leverkusen,ff52
Bayern Munich,69b3
VfB Stuttgart,cfa3
RB Leipzig,1292
Borussia Dortmund,254b
TSG Hoffenheim,e19c
Eintracht Frankfurt,81d7
SC Freiburg,27b5
F. C. Augsburgo,254c
Borussia Monchengladbach,8ef3
VfL Wolfsburg,c035
Werder Bremen,fd94
1. FC Heidenheim 1846,bdc2
VfL Bochum,25aa
1. FC Union Berlin,f8df
FC Cologne,20a1
Mainz,4b89
SV Darmstadt 98,9fcc
Paris Saint-Germain,99dd
ENice,f54a
AS Mónaco,8f8d
LLille,e449
Brest,13ea
Marseille,9927
Lens,ada4
MStade de Reims,fd99
Nantes,590f
Strasbourg,300e
Havre ACLe Havre AC,f955
Metz,bead
Stade Rennais,f414
Montpellier,17c6
Toulouse,978c
Lorient,e6e6
rmontClermont Foot,61be
NLyon,caeb
Sporting CP,a5a0
FC Porto,17de
Benfica,034f
GBraga,9403
Guimaraes,0d8c
Moreirense,7c06
FC Famalicao,7ece
SC Farense,84e9
Estrela,0c3d
Boavista,70be
OPortimonense,4fc3
Estoril,09a7
Casa Pia,dc45
CGil Vicente,6921
Rio Ave,9831
GD Chaves,41f4
Arouca,506b
Vizela,d097
PSV Eindhoven,cc98
Feyenoord Rotterdam,566c
Z Alkmaar,24c7
FC Twente,e5f7
XAjax Amsterdam,2188
AheadGo Ahead Eagles,3bbf
RotterdamSparta Rotterdam,fbda
Heerenveen,a12c
tunaFortuna Sittard,ed7f
NEC Nijmegen,dae7
PEC Zwolle,db86
Excelsior,2d4c
FC Utrecht,8193
Heracles Almelo,fa7d
RKC Waalwijk,4de1
ere CityAlmere City,f26c
Vitesse,d992
VolendamFC Volendam,5159
